lokasyon,province,district,latitude,longitude,elevation,geocoder_name,admin1,admin2,source
İZMİR>ALİAĞA,İZMİR,ALİAĞA,38.79975,26.97203,24.0,Aliağa,İzmir,Aliağa,open_meteo_geocoder
İZMİR>BALÇOVA,İZMİR,BALÇOVA,38.39201,27.04258,41.0,Balçova,İzmir,Balçova,open_meteo_geocoder
İZMİR>BAYINDIR,İZMİR,BAYINDIR,38.4237,27.1428,,,İZMİR,BAYINDIR,province_fallback
İZMİR>BAYRAKLI,İZMİR,BAYRAKLI,38.4237,27.1428,,,İZMİR,BAYRAKLI,province_fallback
İZMİR>BERGAMA,İZMİR,BERGAMA,39.12074,27.18052,69.0,Bergama,İzmir,Bergama,open_meteo_geocoder
İZMİR>BEYDAĞ,İZMİR,BEYDAĞ,38.08593,28.20843,226.0,Beydağ,İzmir,Beydağ,open_meteo_geocoder
İZMİR>BORNOVA,İZMİR,BORNOVA,38.47921,27.2399,125.0,Bornova,İzmir,Bornova,open_meteo_geocoder
İZMİR>BUCA,İZMİR,BUCA,38.3983,27.16662,140.0,Buca,İzmir,Buca,open_meteo_geocoder
İZMİR>DİKİLİ,İZMİR,DİKİLİ,39.071,26.89017,8.0,Dikili,İzmir,Dikili İlçesi,open_meteo_geocoder
İZMİR>FOÇA,İZMİR,FOÇA,38.6703,26.75656,5.0,Foça,İzmir,Foça İlçesi,open_meteo_geocoder
İZMİR>GAZİEMİR,İZMİR,GAZİEMİR,38.32392,27.12918,144.0,Gaziemir,İzmir,Gaziemir,open_meteo_geocoder
İZMİR>GÜZELBAHÇE,İZMİR,GÜZELBAHÇE,38.36042,26.88654,75.0,Güzelbahçe,İzmir,Güzelbahçe,open_meteo_geocoder
İZMİR>KARABAĞLAR,İZMİR,KARABAĞLAR,38.382,27.132,78.0,Karabağlar,İzmir,Karabağlar,open_meteo_geocoder
İZMİR>KARABURUN,İZMİR,KARABURUN,38.6364,26.51094,81.0,Karaburun,İzmir,Karaburun İlçesi,open_meteo_geocoder
İZMİR>KARŞIYAKA,İZMİR,KARŞIYAKA,40.13969,32.8925,1010.0,Karsiyaka,Ankara,Pursaklar,open_meteo_geocoder
İZMİR>KEMALPAŞA,İZMİR,KEMALPAŞA,38.43641,27.25991,60.0,Kemalpaşa,İzmir,Bornova,open_meteo_geocoder
İZMİR>KINIK,İZMİR,KINIK,38.4237,27.1428,,,İZMİR,KINIK,province_fallback
İZMİR>KİRAZ,İZMİR,KİRAZ,38.23056,28.20444,305.0,Kiraz,İzmir,Kiraz İlçesi,open_meteo_geocoder
İZMİR>KONAK,İZMİR,KONAK,38.4,27.1,99.0,Konak,İzmir,Konak,open_meteo_geocoder
İZMİR>MENDERES,İZMİR,MENDERES,38.24963,27.13429,118.0,Menderes,İzmir,Menderes,open_meteo_geocoder
İZMİR>MENEMEN,İZMİR,MENEMEN,38.60754,27.06938,17.0,Menemen,İzmir,Menemen,open_meteo_geocoder
İZMİR>NARLIDERE,İZMİR,NARLIDERE,38.4237,27.1428,,,İZMİR,NARLIDERE,province_fallback
İZMİR>SEFERİHİSAR,İZMİR,SEFERİHİSAR,38.1975,26.83881,34.0,Seferihisar,İzmir,Seferihisar,open_meteo_geocoder
İZMİR>SELÇUK,İZMİR,SELÇUK,37.95137,27.36849,35.0,Selçuk,İzmir,Selçuk İlçesi,open_meteo_geocoder
İZMİR>TİRE,İZMİR,TİRE,38.08877,27.73508,120.0,Tire,İzmir,Tire,open_meteo_geocoder
İZMİR>TORBALI,İZMİR,TORBALI,38.4237,27.1428,,,İZMİR,TORBALI,province_fallback
İZMİR>URLA,İZMİR,URLA,38.32292,26.76403,67.0,Urla,İzmir,Urla İlçesi,open_meteo_geocoder
İZMİR>ÇEŞME,İZMİR,ÇEŞME,38.32614,26.30574,9.0,Çeşme,İzmir,Çeşme İlçesi,open_meteo_geocoder
İZMİR>ÇİĞLİ,İZMİR,ÇİĞLİ,38.49645,27.07029,65.0,Çiğli,İzmir,Çiğli,open_meteo_geocoder
İZMİR>ÖDEMİŞ,İZMİR,ÖDEMİŞ,38.2278,27.96955,129.0,Ödemiş,İzmir,Ödemiş İlçesi,open_meteo_geocoder
MANİSA>AHMETLİ,MANİSA,AHMETLİ,38.5196,27.93865,85.0,Ahmetli,Manisa,Ahmetli İlçesi,open_meteo_geocoder
MANİSA>AKHİSAR,MANİSA,AKHİSAR,38.91852,27.84006,103.0,Akhisar,Manisa,Akhisar İlçesi,open_meteo_geocoder
