lokasyon,tarih,temperature_2m_mean,temperature_2m_max,temperature_2m_min,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_mean,wind_speed_10m_max,shortwave_radiation_sum,sunshine_duration,daylight_duration,et0_fao_evapotranspiration
MANİSA>AHMETLİ,2025-01-01,6.8,11.5,3.7,4.8,75,0.0,0.0,1.7,4.7,9.68,32511.92,34317.99,1.11
MANİSA>AHMETLİ,2025-01-02,7.7,12.9,4.8,5.8,72,0.0,0.0,2.0,5.9,8.99,32563.72,34359.45,1.14
MANİSA>AHMETLİ,2025-01-03,9.8,15.2,6.3,8.6,79,3.9,3.9,2.2,6.3,6.91,25988.1,34404.16,1.01
MANİSA>AHMETLİ,2025-01-04,10.8,14.5,8.6,10.1,89,8.4,8.4,2.9,6.9,6.58,22514.28,34452.08,0.92
MANİSA>AHMETLİ,2025-01-05,9.6,13.8,7.1,8.3,88,0.6,0.6,4.8,8.7,6.04,21443.68,34503.16,0.85
MANİSA>AHMETLİ,2025-01-06,8.4,12.3,5.9,7.0,85,0.0,0.0,2.4,5.0,8.76,32425.42,34557.34,1.08
MANİSA>AHMETLİ,2025-01-07,10.4,16.2,6.1,9.1,76,0.0,0.0,2.7,8.1,7.67,26500.12,34614.64,1.17
MANİSA>AHMETLİ,2025-01-08,12.7,17.1,9.7,12.1,79,0.1,0.1,2.5,7.3,7.78,32372.3,34675.71,1.15
MANİSA>AHMETLİ,2025-01-09,12.5,16.4,9.9,12.0,78,0.0,0.0,1.2,3.4,9.07,32400.0,34740.6,1.28
MANİSA>AHMETLİ,2025-01-10,11.2,15.7,7.9,10.3,79,0.0,0.0,1.9,6.5,9.81,32539.47,34809.15,1.31
MANİSA>AHMETLİ,2025-01-11,12.8,17.4,8.9,12.0,74,0.1,0.1,2.8,8.0,8.01,31191.55,34881.24,1.27
MANİSA>AHMETLİ,2025-01-12,12.9,16.5,11.2,12.9,90,12.3,12.3,2.8,5.9,5.58,24012.6,34956.69,0.84
MANİSA>AHMETLİ,2025-01-13,10.5,12.4,7.8,9.4,92,10.4,10.4,6.2,10.7,4.2,621.17,35035.37,0.62
MANİSA>AHMETLİ,2025-01-14,7.8,9.8,6.4,5.7,90,10.5,10.5,8.2,10.1,4.6,3838.87,35117.14,0.65
MANİSA>AHMETLİ,2025-01-15,9.8,14.9,6.6,8.3,85,5.1,5.1,5.8,14.4,8.52,30365.46,35201.85,1.22
MANİSA>AHMETLİ,2025-01-16,8.4,12.7,5.8,6.5,84,0.0,0.0,5.8,8.6,7.37,21920.04,35289.35,1.06
MANİSA>AHMETLİ,2025-01-17,7.0,12.4,3.9,4.7,82,0.0,0.0,5.4,9.1,9.89,32456.98,35379.49,1.21
MANİSA>AHMETLİ,2025-01-18,6.6,12.5,3.1,4.5,78,0.0,0.0,3.3,6.1,10.8,33107.22,35472.15,1.31
MANİSA>AHMETLİ,2025-01-19,7.5,13.5,4.3,5.5,73,0.0,0.0,2.6,5.4,10.84,33088.8,35567.18,1.34
MANİSA>AHMETLİ,2025-01-20,7.5,12.8,4.5,5.5,77,0.0,0.0,3.7,6.7,10.47,33069.45,35664.44,1.31
MANİSA>AHMETLİ,2025-01-21,9.5,14.5,5.8,7.8,75,2.0,2.0,3.2,6.9,5.32,11945.82,35763.81,0.9
MANİSA>AHMETLİ,2025-01-22,10.7,15.7,8.0,9.9,84,7.8,7.8,2.0,7.0,9.49,29578.16,35865.13,1.3
MANİSA>AHMETLİ,2025-01-23,10.1,15.8,6.3,9.1,81,0.0,0.0,1.6,4.8,10.26,32400.0,35968.29,1.39
MANİSA>AHMETLİ,2025-01-24,10.2,16.1,6.5,8.9,77,0.0,0.0,2.7,6.8,10.53,32982.82,36073.14,1.47
MANİSA>AHMETLİ,2025-01-25,9.8,12.6,6.7,8.7,88,20.4,20.4,3.9,7.0,3.51,1721.1,36179.57,0.57
MANİSA>AHMETLİ,2025-01-26,8.1,13.7,4.3,6.5,85,0.0,0.0,3.7,7.1,11.18,32607.58,36287.45,1.37
MANİSA>AHMETLİ,2025-01-27,10.0,15.2,6.5,8.9,79,0.0,0.0,1.5,4.6,10.74,32513.85,36396.76,1.43
MANİSA>AHMETLİ,2025-01-28,10.7,17.1,7.2,9.7,80,0.0,0.0,2.4,5.5,11.56,33532.22,36508.63,1.59
MANİSA>AHMETLİ,2025-01-29,10.8,18.0,6.5,9.6,77,0.0,0.0,2.4,6.2,11.7,33827.12,36623.23,1.68
MANİSA>AHMETLİ,2025-01-30,10.6,15.6,7.0,9.4,77,0.1,0.1,3.2,8.7,7.83,23608.26,36740.36,1.21
MANİSA>AHMETLİ,2025-01-31,11.1,16.6,7.6,10.3,80,0.1,0.1,1.3,3.6,11.5,33440.94,36859.88,1.62
MANİSA>AHMETLİ,2025-02-01,10.7,16.0,8.7,9.6,77,0.0,0.0,2.3,4.3,11.89,33086.66,36981.61,1.62
MANİSA>AHMETLİ,2025-02-02,10.4,15.5,7.2,9.1,75,0.0,0.0,1.9,3.3,11.64,32012.14,37105.4,1.57
MANİSA>AHMETLİ,2025-02-03,10.3,15.6,6.5,9.2,79,0.0,0.0,1.8,4.8,11.84,33661.26,37231.07,1.63
MANİSA>AHMETLİ,2025-02-04,7.7,8.7,5.8,5.3,84,3.7,3.7,7.7,11.9,3.66,0.0,37358.47,0.62
MANİSA>AHMETLİ,2025-02-05,5.2,8.6,2.3,1.3,64,0.0,0.0,10.9,22.5,11.17,34226.36,37487.46,1.59
MANİSA>AHMETLİ,2025-02-06,3.6,7.1,1.6,-0.6,65,0.2,0.2,12.0,18.9,9.29,33869.77,37617.88,1.38
MANİSA>AHMETLİ,2025-02-07,3.3,8.2,-0.4,-0.2,69,0.3,0.3,7.4,18.4,9.33,34185.88,37749.58,1.26
MANİSA>AHMETLİ,2025-02-08,4.3,10.6,0.7,1.4,75,0.0,0.0,5.1,12.5,10.39,26592.16,37882.42,1.39
